feats	Importance
cont14	7582
cont7	4095
cat100	2698
cont8	2670
cont6	2493
cont2	2400
cont1	2338
cont5	2314
cat112	2294
cont3	2245
cont4	2235
cont13	2068
cont9	1954
cat113	1928
cont11	1809
cont12	1617
cat110	1581
cont10	1544
cat116	1246
cat91	738
cat108	697
cat107	663
cat114	632
cat103_cat111	610
cat115	556
cat105	526
cat72_cat103	407
cat101	389
cat72_cat111	389
cat106	388
cat94	381
cat95	381
cat97	339
cat1_cat111	317
cat1_cat82	317
cat53	316
cat92	313
cat83	311
cat104	305
cat99	304
cat9_cat103	297
cat80_cat81	297
cat2_cat103	294
cat84	283
cat73_cat82	275
cat109	273
cat75	272
cat44	270
cat81_cat82	264
cat93	264
cat72_cat82	261
cat73_cat103	261
cat2_cat111	257
cat1_cat103	254
cat12_cat103	246
cat80_cat111	242
cat23_cat103	242
cat9_cat111	242
cat1_cat73	241
cat81_cat103	240
cat79_cat111	236
cat10_cat103	234
cat72_cat1	232
cat80_cat79	230
cat13_cat111	229
cat80_cat103	228
cat12_cat111	225
cat79_cat103	224
cat11_cat103	222
cat36_cat111	220
cat10_cat111	211
cat87_cat111	205
cat73_cat111	204
cat37	200
cat79_cat81	196
cat2_cat72	195
cat80_cat82	192
cat72_cat81	191
cat103_cat82	187
cat11_cat111	183
cat87_cat103	181
cat26	181
cat49	180
cat81_cat111	180
cat98	174
cat111_cat82	171
cat31	170
cat79_cat82	169
cat27	169
cat72_cat73	164
cat80_cat72	162
cat72_cat50	162
cat2_cat82	159
cat72_cat9	158
cat13_cat103	153
cat9_cat82	151
cat52	150
cat72_cat6	146
cat79_cat72	145
cat79_cat1	142
cat2_cat6	140
cat80_cat87	140
cat12_cat79	139
cat50_cat82	139
cat39	138
cat103_cat6	134
cat87_cat79	134
cat3_cat111	132
cat111_cat50	132
cat1_cat50	130
cat80_cat2	128
cat73_cat50	128
cat72_cat23	125
cat102	125
cat111_cat6	124
cat79_cat73	123
cat36_cat6	121
cat6_cat82	120
cat103_cat50	119
cat87_cat72	118
cat111_cat38	114
cat72_cat36	113
cat36_cat82	112
cat9_cat6	112
cat2_cat81	112
cat87_cat82	112
cat8	112
cat2_cat1	111
cat80_cat9	110
cat9_cat73	110
cat2_cat50	109
cat66	108
cat81_cat1	108
cat81_cat73	107
cat10_cat72	105
cat1_cat9	104
cat23_cat82	102
cat40_cat111	101
cat9_cat50	101
cat79_cat6	101
cat72_cat11	101
cat1_cat23	100
cat36_cat50	99
cat10_cat82	99
cat81_cat9	99
cat3_cat103	99
cat12_cat6	97
cat12_cat82	96
cat79_cat50	96
cat87_cat1	95
cat72_cat25	94
cat12_cat72	93
cat1_cat6	93
cat88	93
cat79_cat2	92
cat41	92
cat57_cat111	92
cat87_cat6	92
cat111_cat5	91
cat80_cat1	90
cat4_cat82	89
cat2_cat73	88
cat6_cat25	87
cat36_cat103	87
cat72_cat76	86
cat103_cat25	86
cat73_cat40	85
cat79_cat9	85
cat1_cat25	84
cat72_cat38	84
cat24_cat82	84
cat73_cat6	84
cat81_cat50	84
cat38_cat82	83
cat23_cat6	82
cat86	82
cat10_cat1	82
cat23_cat50	81
cat80_cat10	81
cat40_cat82	80
cat5_cat82	80
cat23_cat111	78
cat9_cat36	78
cat12_cat1	78
cat79_cat10	77
cat9_cat25	77
cat73_cat76	77
cat2_cat25	77
cat23_cat36	77
cat2_cat38	76
cat6_cat38	76
cat111_cat76	76
cat10_cat50	74
cat9_cat38	74
cat71	73
cat11_cat1	73
cat38_cat25	73
cat10_cat6	73
cat80_cat36	72
cat80_cat73	72
cat79_cat36	72
cat81_cat6	72
cat54	72
cat87_cat81	72
cat2_cat36	71
cat80_cat6	71
cat13_cat6	71
cat80_cat50	71
cat2_cat23	70
cat12_cat81	69
cat11_cat82	69
cat82_cat25	69
cat103_cat4	68
cat2_cat76	68
cat5_cat4	68
cat43	68
cat72_cat13	68
cat1_cat36	67
cat16_cat103	66
cat12_cat38	66
cat36_cat73	66
cat96	66
cat72_cat3	65
cat11_cat36	65
cat6_cat5	64
cat80_cat23	63
cat11_cat6	63
cat87_cat11	63
cat10_cat73	63
cat87_cat73	63
cat9_cat23	62
cat87_cat12	62
cat23_cat73	62
cat6_cat4	62
cat50_cat25	61
cat57_cat76	61
cat80_cat3	61
cat57_cat103	61
cat81_cat23	61
cat3_cat82	61
cat81_cat36	61
cat80_cat12	61
cat1_cat38	60
cat76_cat82	60
cat12_cat25	59
cat12_cat36	59
cat87_cat50	59
cat9_cat76	58
cat12_cat73	58
cat1_cat13	58
cat11_cat50	57
cat72_cat40	57
cat87_cat36	56
cat77	56
cat7_cat103	56
cat1_cat76	55
cat10_cat36	55
cat36_cat38	55
cat7_cat111	55
cat50_cat38	54
cat72_cat5	53
cat79_cat38	53
cat23_cat38	53
cat80_cat13	53
cat79_cat3	53
cat103_cat28	53
cat50_cat4	52
cat12_cat76	52
cat87_cat10	52
cat40_cat76	52
cat13_cat82	52
cat50_cat5	51
cat79_cat13	51
cat76_cat50	51
cat80_cat57	51
cat80_cat11	51
cat57_cat79	50
cat28_cat82	50
cat10_cat38	50
cat11_cat38	50
cat12_cat50	50
cat12_cat23	49
cat72_cat4	49
cat30	49
cat87_cat9	49
cat87_cat76	49
cat65	48
cat2_cat5	48
cat87_cat2	48
cat87_cat23	48
cat11_cat73	48
cat103_cat76	48
cat79_cat76	47
cat3_cat6	47
cat10_cat81	47
cat73_cat28	47
cat73_cat24	47
cat16_cat111	47
cat6_cat76	46
cat40_cat6	46
cat51	46
cat21	46
cat90_cat111	45
cat76_cat38	45
cat13_cat50	45
cat81_cat38	45
cat73_cat25	45
cat13_cat38	45
cat28_cat111	44
cat2_cat4	44
cat73_cat38	44
cat11_cat25	44
cat80_cat40	43
cat10_cat76	43
cat12_cat3	43
cat80_cat25	42
cat1_cat40	42
cat80_cat28	42
cat81_cat13	41
cat1_cat28	41
cat74	41
cat36_cat25	41
cat87_cat3	41
cat45	41
cat67	41
cat40_cat50	41
cat10_cat11	40
cat87_cat38	40
cat76_cat25	40
cat81_cat25	40
cat80_cat76	40
cat103_cat40	40
cat12_cat11	40
cat3_cat76	39
cat13_cat23	39
cat87_cat13	39
cat90_cat103	39
cat79_cat23	39
cat11_cat76	39
cat1_cat4	38
cat13_cat73	38
cat79_cat11	37
cat111_cat25	37
cat9_cat5	37
cat9_cat40	37
cat87_cat7	37
cat23_cat76	37
cat23_cat25	36
cat3_cat73	36
cat1_cat5	36
cat87_cat25	36
cat7_cat6	36
cat7_cat3	36
cat10_cat13	35
cat81_cat11	35
cat10_cat25	35
cat42	35
cat57_cat6	35
cat23_cat5	35
cat79_cat25	35
cat72_cat24	35
cat13_cat76	35
cat80_cat7	34
cat28_cat76	34
cat11_cat13	34
cat103_cat38	34
cat40_cat28	34
cat40_cat24	34
cat36_cat4	34
cat12_cat40	34
cat80_cat24	34
cat12_cat5	34
cat79_cat4	34
cat12_cat13	34
cat10_cat23	34
cat16_cat6	33
cat13_cat25	33
cat72_cat28	33
cat87_cat40	33
cat11_cat9	33
cat5_cat25	33
cat81_cat40	33
cat12_cat4	33
cat10_cat5	33
cat13_cat4	33
cat32	32
cat80_cat38	32
cat1_cat3	32
cat10_cat3	32
cat3_cat38	32
cat81_cat24	31
cat11_cat3	31
cat11_cat5	31
cat87_cat24	31
cat57_cat50	31
cat7_cat82	31
cat73_cat5	31
cat10_cat9	31
cat79_cat40	30
cat4_cat38	30
cat3_cat40	30
cat36_cat76	30
cat3_cat50	30
cat13_cat36	30
cat2_cat40	30
cat80_cat5	29
cat2_cat3	29
cat81_cat3	29
cat13_cat3	29
cat80_cat16	28
cat7_cat76	28
cat12_cat28	28
cat28_cat50	28
cat103_cat24	28
cat29	28
cat12_cat24	27
cat9_cat3	27
cat81_cat76	27
cat81_cat28	27
cat16_cat50	27
cat10_cat40	27
cat79_cat5	27
cat50_cat24	26
cat28_cat6	26
cat16_cat82	26
cat9_cat28	26
cat6_cat14	26
cat80_cat90	26
cat57_cat13	26
cat3_cat23	26
cat72_cat90	26
cat72_cat14	26
cat89_cat103	25
cat76_cat4	25
cat80_cat4	25
cat9_cat4	25
cat11_cat23	25
cat7_cat2	25
cat12_cat10	25
cat7_cat72	24
cat57_cat73	24
cat17	24
cat2_cat28	24
cat7_cat81	24
cat79_cat28	24
cat1_cat90	23
cat14_cat82	23
cat9_cat24	23
cat87_cat5	23
cat81_cat5	23
cat73_cat4	23
cat72_cat16	23
cat13_cat5	23
cat79_cat16	22
cat76_cat24	22
cat2_cat90	22
cat12_cat9	22
cat89_cat111	22
cat7_cat50	22
cat3_cat28	22
cat79_cat90	22
cat36_cat40	22
cat79_cat7	22
cat10_cat28	21
cat7_cat36	21
cat3_cat36	21
cat111_cat14	20
cat78	20
cat6_cat24	20
cat87_cat57	20
cat57_cat12	20
cat76_cat5	20
cat12_cat7	20
cat79_cat24	20
cat10_cat4	20
cat13_cat90	20
cat1_cat24	20
cat50_cat14	20
cat13_cat28	19
cat7_cat40	19
cat81_cat90	19
cat36_cat28	19
cat56	19
cat11_cat40	19
cat13_cat24	19
cat81_cat4	19
cat19	19
cat87_cat28	19
cat87_cat90	19
cat40_cat25	19
cat7_cat73	18
cat16_cat40	18
cat111_cat24	18
cat57_cat3	18
cat28_cat24	18
cat11_cat16	18
cat57_cat82	18
cat13_cat40	18
cat61	18
cat7_cat90	17
cat10_cat16	17
cat59	17
cat57_cat81	17
cat18	17
cat23_cat40	17
cat57_cat38	16
cat79_cat89	16
cat3_cat25	16
cat9_cat90	16
cat87_cat4	16
cat7_cat11	16
cat73_cat14	16
cat40_cat38	16
cat103_cat14	15
cat2_cat24	15
cat12_cat16	15
cat82	15
cat7_cat9	15
cat7_cat13	15
cat90_cat28	15
cat90_cat50	15
cat57_cat72	14
cat23_cat28	14
cat36_cat24	14
cat1_cat16	14
cat3_cat5	14
cat3_cat4	14
cat28_cat25	14
cat16_cat25	14
cat57_cat14	14
cat57_cat10	14
cat13_cat9	14
cat90_cat82	14
cat90_cat6	14
cat16_cat38	14
cat7_cat25	14
cat11_cat24	14
cat89_cat72	14
cat7_cat38	14
cat90_cat73	13
cat11_cat90	13
cat90_cat76	13
cat12_cat90	13
cat9_cat14	13
cat7_cat16	13
cat7_cat14	13
cat10_cat7	13
cat11_cat28	13
cat1_cat14	12
cat23_cat24	12
cat33	12
cat24_cat25	12
cat14_cat38	12
cat10_cat24	12
cat3_cat14	12
cat16_cat23	12
cat89_cat6	12
cat16_cat4	12
cat7_cat1	12
cat14_cat25	12
cat80_cat14	12
cat7_cat23	12
cat10_cat14	11
cat16_cat5	11
cat40_cat4	11
cat36_cat14	11
cat16_cat36	11
cat57_cat25	11
cat13_cat16	11
cat11_cat4	11
cat57_cat11	11
cat3_cat24	11
cat90_cat25	11
cat7_cat24	11
cat7_cat28	11
cat89_cat73	11
cat89_cat76	11
cat11_cat14	10
cat28_cat5	10
cat89_cat50	10
cat57_cat1	10
cat40_cat14	10
cat16_cat28	10
cat57_cat16	10
