	501_1136.21	447_1125.06	419_1145.49	525_1144.63	avg	CatSel	CatCombSel
cat100	1482	1473	1475	1562	1498		
cat112	745	615	587	782	682.25		
lin_cont2*lin_cont13	426	768	708	740	660.5		
lin_cont2*lin_cont14	790	523	488	487	572		
lin_cont2*lin_cont6	249	586	622	656	528.25		
lin_cont3*lin_cont13	291	492	464	564	452.75		
lin_cont2/lin_cont13	422	398	425	511	439		
lin_cont1/lin_cont6	348	452	452	495	436.75		
lin_cont7/lin_cont11	442	420	393	438	423.25		
lin_cont2/lin_cont14	460	396	377	457	422.5		
lin_cont7/lin_cont10	444	380	374	461	414.75		
cont2	480	506	520	108	403.5		
lin_cont6/lin_cont14	296	413	390	460	389.75		
lin_cont13*lin_cont14	362	405	375	407	387.25		
cat103_cat111	385	396	368	364	378.25		1
lin_cont7*lin_cont13	183	386	443	481	373.25		
lin_cont3*lin_cont6	235	435	391	426	371.75		
lin_cont4/lin_cont13	179	411	376	490	364		
lin_cont8/lin_cont13	131	396	390	513	357.5		
lin_cont4*lin_cont13	165	418	366	476	356.25		
lin_cont7*lin_cont9	170	394	412	438	353.5		
lin_cont3/lin_cont13	199	361	348	500	352		
lin_cont1/lin_cont14	313	393	324	374	351		
lin_cont2/lin_cont12	174	385	402	428	347.25		
lin_cont7+lin_cont13	19	450	402	518	347.25		
lin_cont1/lin_cont8	123	425	428	406	345.5		
cat114	344	350	334	335	340.75		
lin_cont7/lin_cont12	417	278	307	353	338.75		
lin_cont4/lin_cont7	236	384	367	366	338.25		
lin_cont5/lin_cont13	148	423	303	472	336.5		
lin_cont7/lin_cont13	322	315	331	375	335.75		
lin_cont13-lin_cont14	185	413	304	402	326		
lin_cont2*lin_cont12	236	336	326	401	324.75		
lin_cont6/lin_cont12	323	327	311	330	322.75		
lin_cont8*lin_cont13	78	388	342	482	322.5		
lin_cont7/lin_cont8	175	346	313	438	318		
lin_cont9*lin_cont14	313	314	316	328	317.75		
lin_cont1/lin_cont13	282	343	294	333	313		
lin_cont6/lin_cont10	328	300	274	320	305.5		
lin_cont1*lin_cont14	329	290	237	362	304.5		
lin_cont11*lin_cont14	333	265	276	342	304		
lin_cont6*lin_cont9	78	347	329	447	300.25		
lin_cont1/lin_cont5	106	356	344	389	298.75		
lin_cont6/lin_cont11	277	283	297	314	292.75		
cat110	320	284	249	317	292.5		
lin_cont1*lin_cont9	51	335	352	426	291		
lin_cont10/lin_cont13	267	282	254	341	286		
lin_cont3*lin_cont12	177	323	287	349	284		
lin_cont1*lin_cont2	308	266	242	316	283		
lin_cont9/lin_cont13	219	297	267	323	276.5		
lin_cont2*lin_cont7	681	117	124	169	272.75		
lin_cont1*lin_cont13	105	293	302	388	272		
lin_cont2/lin_cont8	152	297	275	363	271.75		
lin_cont6-lin_cont13	32	351	348	353	271		
lin_cont4/lin_cont14	517	165	183	214	269.75		
lin_cont2*lin_cont8	127	324	269	357	269.25		
lin_cont10*lin_cont14	343	210	243	271	266.75		
lin_cont2*lin_cont9	307	254	218	286	266.25		
lin_cont7-lin_cont13	13	333	328	385	264.75		
lin_cont1/lin_cont10	358	215	233	251	264.25		
cat91	303	300	309	141	263.25		
lin_cont6/lin_cont13	291	242	269	243	261.25		
lin_cont2/lin_cont6	233	266	252	293	261		
lin_cont12*lin_cont13	61	331	272	377	260.25		
lin_cont7*lin_cont14	451	203	184	200	259.5		
lin_cont9*lin_cont13	84	288	273	387	258		
lin_cont6/lin_cont8	145	328	250	303	256.5		
lin_cont10*lin_cont13	92	304	256	373	256.25		
