id,loss
4,1526
6,1969
9,9227
12,6255
15,804.2
17,2399
21,2092
28,832.3
32,2597
43,3044
46,2814
50,970.6
54,1220
62,2037
70,2266
71,4582
75,2193
77,2408
81,2562
83,2408
87,1811
97,1697
103,1114
119,1067
120,1811
127,1013
138,4471
141,3715
148,712.1
150,2408
151,2266
158,1526
160,5517
165,2562
168,3715
169,3715
177,2814
178,3323
184,2092
194,9729
198,1754
203,3467
211,2562
217,1262
219,1262
221,4826
227,1811
230,1526
235,1904
240,680.1
243,2947
249,5913
253,2701
258,1450
261,1667
263,3467
264,2399
265,4142
268,1890
271,1079
274,5616
275,680.1
279,1441
282,1583
286,3323
288,1114
294,2120
296,1013
297,1450
300,804.2
303,8667
314,1049
315,4582
321,2399
323,3730
330,3730
341,1929
342,4142
352,1613
353,3582
360,5153
361,2281
362,4702
366,1313
372,3323
376,2890
377,2206
379,1614
380,3715
387,1814
392,1929
394,1.072e+04
395,1586
397,1457
407,5828
411,9227
416,2562
417,1526
419,4211
428,5913
431,1811
436,9485
438,1610
445,6684
446,7087
455,1339
456,1262
461,970.6
463,1814
464,3715
466,1638
467,1262
470,1262
475,1450
482,3370
490,3632
496,1754
497,4369
508,2890
510,1814
512,1851
513,3715
523,1754
531,4582
532,2266
533,1300
537,1163
544,4445
547,2597
556,7711
565,1441
566,1262
571,1450
573,1754
574,921.2
581,2092
585,2120
589,1814
597,1754
601,3323
602,1811
613,1526
616,1441
619,2120
622,1890
623,2006
629,1610
634,1553
638,1013
642,1049
643,2092
645,1040
648,6504
652,1220
664,1040
666,2242
672,866.6
676,2399
678,4211
682,1860
686,3044
688,2120
689,1220
690,1814
692,1.108e+04
695,1662
697,4048
698,2266
706,2597
708,1553
712,2701
715,4184
717,1393
725,3273
729,1079
737,1393
739,5153
747,3715
753,2597
758,2242
759,2120
763,1450
773,4048
774,2006
776,1526
788,2814
790,3206
794,1013
801,2878
802,1441
805,1393
809,5162
812,1677
825,2399
828,2092
830,1441
833,1156
850,5886
852,5913
862,1526
863,1393
864,1553
865,3582
868,6710
872,1526
879,5153
880,1526
883,1262
886,1368
923,1677
924,1526
932,1441
945,5913
947,6475
948,2193
955,2751
963,4085
979,1441
989,1553
994,3044
995,1851
998,1441
1000,4332
1018,1754
1019,1691
1028,1904
1034,1339
1038,1667
1040,1368
1042,1262
1057,6684
1058,2399
1063,1013
1066,4582
1071,4085
1073,4048
1074,2890
1077,2947
1080,9782
1088,911.2
1096,787.5
1097,1.083e+04
1105,5739
1115,1969
1116,2947
1122,2206
1130,5153
1133,1013
1137,1754
1140,1890
1143,7711
1149,5517
1150,924.1
1153,777.2
1157,937.8
1180,576.9
1183,921.2
1188,1610
1193,1114
1200,777.2
1209,4332
1214,1904
1219,2006
1223,5828
1227,832.3
1228,1450
1229,4582
1233,970.6
1238,5616
1239,2032
1241,3273
1243,1768
1244,1163
1245,3323
1277,4369
1279,3044
1292,1.2e+04
1293,1450
1299,9227
1304,2947
1313,3632
1328,2206
1330,1079
1334,1526
1335,1309
1336,5616
1341,1049
1344,1079
1351,866.6
1352,2672
1354,1553
1368,4184
1373,1553
1375,670
1381,1614
1384,4738
1385,4184
1388,5386
1401,5913
1402,2597
1404,1553
1406,1400
1409,1156
1422,1450
1429,3273
1433,5828
1438,1156
1444,1163
1446,1101
1450,1114
1451,753.4
1454,1814
1458,2242
1461,3467
1464,5913
1465,1013
1478,2092
1479,1614
1480,2661
1484,2399
1486,921.2
1488,850.4
1489,3370
1491,1040
1507,2037
1515,2120
1519,2766
1528,1768
1529,970.6
1530,3141
1532,1174
1541,1610
1542,3206
1547,1368
1549,1220
1553,2399
1554,2947
1555,1339
1559,1610
1565,1613
1568,1163
1576,3582
1579,970.6
1592,911.2
1596,3323
1605,911.2
1607,1526
1612,2037
1617,3044
1619,2284
1620,8189
1624,2751
1627,1262
1633,1697
1636,1262
1639,1114
1640,4582
1644,1163
1646,1441
1647,2399
1654,1342
1655,3273
1664,6255
1665,2120
1667,4844
1669,1163
1678,2242
1682,1904
1689,1044
1690,2751
1693,5517
1695,970.6
1705,2266
1706,2597
1708,2092
1716,2092
1720,8491
1722,1691
1749,4211
1750,1583
1751,5828
1760,2947
1763,4048
1770,1553
1777,2006
1785,5319
1791,1163
1794,4332
1800,1220
1816,1309
1817,1040
1821,3370
1836,1368
1838,1731
1851,1969
1852,2814
1854,2562
1856,850.4
1865,804.2
1872,1079
1878,804.2
1880,1013
1881,1393
1882,1890
1886,850.4
1892,1553
1894,2562
1898,2597
1899,2562
1902,1220
1903,3665
1906,1393
1910,2399
1911,1697
1914,3370
1929,3082
1932,1441
1952,1013
1959,1342
1960,1811
1976,4211
1980,2878
1981,2092
1987,2092
1994,1746
2000,832.3
2008,2193
2011,2314
2012,5162
2019,1811
2022,3141
2024,8491
2028,937.8
2030,3467
2031,7163
2047,1814
2049,670
2050,1526
2051,4211
2056,1697
2057,1049
2059,2399
2069,3582
2085,1613
2089,898.7
2090,1614
2101,3044
2114,2562
2115,1313
2118,1262
2119,2399
2125,1555
2128,3323
2129,1526
2132,1811
2133,2399
2135,798.5
2136,1662
2143,1220
2144,1163
2145,2701
2152,2187
2160,3467
2166,1553
2169,1114
2170,1553
2172,1697
2181,1638
2183,1697
2185,3044
2188,2431
2189,2120
2194,5153
2202,1553
2208,2801
2227,1754
2230,5368
2235,2242
2236,1691
2244,7516
2248,1526
2252,1400
2254,1638
2260,5616
2263,1904
2274,1553
2277,1013
2279,5913
2280,1.083e+04
2283,2597
2284,832.3
2288,3082
2292,2006
2295,5153
2296,1220
2299,2562
2315,5386
2318,1662
2329,1.072e+04
2337,1610
2340,1013
2342,1697
2347,2399
2349,4445
2354,1262
2361,2431
2370,1638
2378,2890
2382,3868
2387,1553
2389,2037
2394,1393
2396,2266
2400,2814
2407,2562
2414,1114
2415,1811
2421,2120
2427,1731
2428,2408
2430,2597
2435,2399
2445,5383
2446,1638
2447,1262
2449,1904
2451,1851
2458,1.399e+04
2462,1.072e+04
2463,2597
2467,2206
2471,5886
2475,2242
2478,3082
2483,4211
2485,1163
2487,1114
2494,712.1
2497,1811
2499,1553
2503,1441
2513,2701
2515,2092
2522,1610
2523,1313
2528,2756
2532,4754
2536,1079
2538,1553
2539,970.6
2540,2193
2545,5153
2548,1163
2549,970.6
2553,2399
2563,1746
2566,2266
2574,1441
2575,2766
2584,2814
2588,2751
2589,970.6
2592,1610
2596,1450
2598,1614
2602,1040
2603,1450
2607,2554
2609,1526
2611,5616
2627,1610
2628,1768
2630,3044
2633,2120
2636,7163
2640,1040
2641,1262
2657,4826
2659,1040
2662,1079
2663,1890
2667,2266
2670,921.2
2682,2120
2694,3141
2699,6247
2700,2947
2703,5319
2708,2120
2714,970.6
2725,670
2726,1262
2727,1220
2732,2037
2733,5517
2736,5319
2745,2399
2760,1342
2764,2006
2765,6255
2766,576.9
2775,1851
2783,1691
2784,1049
2786,2206
2801,1300
2803,1904
2813,5319
2815,7087
2816,1526
2818,2814
2819,2266
2822,1262
2825,1731
2826,1342
2830,1526
2834,1262
2835,5913
2856,2619
2873,5913
2886,5386
2892,3370
2896,1013
2897,970.6
2899,2092
2901,1114
2909,5517
2914,3467
2915,1262
2916,2284
2919,898.7
2926,2284
2927,1851
2933,1526
2934,3057
2941,1691
2942,1811
2946,2701
2949,1731
2952,1731
2957,8667
2962,2032
2963,924.1
2965,1904
2966,6255
2971,2193
2975,670
2979,1067
2985,8667
2995,2597
2996,1393
3001,2947
3007,2408
3008,911.2
3014,3370
3017,1.072e+04
3021,1305
3025,2562
3026,970.6
3034,2266
3035,2562
3044,2947
3046,3323
3047,5913
3057,2814
3059,6027
3063,4332
3065,1342
3067,2206
3069,1441
3076,3467
3086,1262
3088,2399
3090,1890
3096,2947
3100,1114
3102,2120
3103,2314
3107,1013
3118,1339
3120,4582
3123,1969
3128,1262
3132,1613
3140,1662
3152,2399
3165,2878
3183,1441
3190,1079
3197,2037
3201,1262
3203,1811
3214,2399
3219,2120
3220,1441
3221,4085
3229,1662
3234,1163
3235,3206
3240,1697
3241,1586
3249,2206
3254,887.9
3264,3730
3266,2092
3270,850.4
3282,1851
3285,1814
3289,1313
3291,1553
3295,2006
3299,898.7
3302,1526
3303,5913
3308,3467
3309,3875
3324,2092
3327,5383
