id,prediction,loss
1,2032,2213
2,1638,1284
5,4369,3005
10,1013,939.9
11,3082,2764
13,3875,5143
14,1174,1132
20,6255,3586
23,8491,1.028e+04
24,6684,6185
25,4844,6397
33,5386,5966
34,1929,1193
41,1044,1072
47,777.2,585.2
48,1262,1395
49,8189,6609
51,1553,2659
52,4211,4167
55,2314,3798
57,970.6,1155
60,1013,891.1
61,1174,766
66,2006,771.6
73,1904,7256
76,2120,1529
86,2266,4787
89,1305,2164
90,6255,1.167e+04
93,2006,1754
100,2408,4521
105,1768,2128
107,4369,5371
111,3206,1831
112,1305,2422
116,1262,1376
118,4471,7703
125,1.2e+04,1.125e+04
130,1613,876.8
139,2661,3553
140,1013,1154
144,5162,4822
146,4369,2810
149,2431,3110
153,1368,1301
156,1.083e+04,1.01e+04
162,1101,858.5
166,832.3,692.5
167,1342,786.3
171,1526,1028
172,2522,3977
173,2431,1809
174,2431,3486
175,2562,1510
186,1851,2906
191,2115,7484
197,1662,1141
200,1774,595.1
202,2597,3343
205,3618,5113
207,1929,1432
208,1281,425.8
212,1300,703.1
215,2701,1998
218,1691,2206
222,1.834e+04,1.171e+04
223,1339,796.8
225,1677,1.736e+04
226,1450,515
228,4844,8537
232,1114,817.7
233,3580,2586
237,2032,5609
244,4184,3608
245,1526,2222
248,1586,2087
259,2120,6214
260,2032,2533
276,3323,1.55e+04
277,2947,6806
285,1890,2886
289,4582,4384
291,2092,487.2
292,1114,1019
293,1393,942.9
298,1450,2156
306,1281,1578
308,1262,887.5
316,1040,1761
318,576.9,38.4
319,1342,1231
320,1811,442.2
322,1526,824.5
324,2206,4199
325,4369,4837
327,2431,2284
333,1754,1246
335,3206,8582
337,1220,559.5
343,2431,2201
351,1220,4352
354,3206,5414
383,1553,2365
386,1904,757.9
388,4470,3096
393,1441,436.6
401,2947,6960
402,1553,2158
404,3402,4242
406,1662,1343
409,4826,6101
412,1220,2934
414,1156,1085
418,2120,1647
422,3370,4342
424,1610,1025
427,804.2,939.4
430,1890,3717
433,2399,1302
435,2092,1.127e+04
437,1865,1494
439,1526,2076
440,5386,4882
442,3618,1814
443,3467,1417
449,1.083e+04,1.546e+04
450,1890,2862
451,2193,2084
454,2399,3271
458,6897,5030
474,2206,2569
476,2014,1515
478,2878,2541
481,1313,1083
484,2597,1797
488,1163,1249
493,4844,7383
499,1393,986.3
502,5386,3648
511,832.3,621.4
516,1731,2879
517,1262,1338
522,2193,2514
526,1393,2298
527,1393,1325
534,1613,1371
536,3467,6144
538,1814,1538
540,1814,4061
542,850.4,645.7
550,1156,738.4
552,3206,4723
560,3370,8123
561,1553,1257
562,3715,1715
563,1662,825
567,3141,3849
568,2766,1733
572,1731,3016
576,1220,2152
577,4211,3861
578,1393,1748
584,1553,966
586,1904,3158
590,2801,3228
592,1526,892.4
596,1450,1578
598,1220,1375
599,1156,939.4
603,2206,697
605,3618,4805
606,1220,871.8
607,832.3,865.9
608,4332,4884
610,3467,3835
611,2115,2247
612,4085,4411
614,7087,8533
617,1754,3577
621,4184,6041
625,670,651.6
626,2562,3565
627,1890,2154
630,3141,2709
632,1441,1498
640,2399,749.3
644,1441,1221
650,5913,4773
653,1450,2580
657,2242,1738
658,3715,3603
663,1220,581.9
667,1774,914.6
670,2266,1028
674,2187,1096
677,4211,4391
679,2314,3016
681,1313,1587
685,2006,1579
687,1342,886
691,7711,6055
693,1677,1092
699,3467,5145
