id,prediction
4,1500.60832177
6,1954.55821189
9,9332.73996802
12,6339.69039524
15,811.917908994
17,2351.32754741
21,2084.40624926
28,838.441184092
32,2594.13116347
43,3039.11712486
46,2836.84920679
50,971.403844512
54,1210.4718261
62,2036.20190633
70,2297.28742679
71,4633.96364514
75,2173.63276899
77,2439.16669519
81,2556.21149284
83,2411.27392166
87,1804.18396021
97,1714.17538606
103,1109.859684
119,1081.48306647
120,1807.97359607
127,996.697848445
138,4470.14775409
141,3667.42367174
148,732.762832442
150,2424.11432126
151,2248.1210634
158,1504.53918518
160,5553.99627961
165,2540.02957032
168,3685.35541634
169,3741.8345964
177,2837.14609416
178,3348.05385991
184,2094.30344505
194,9516.30475154
198,1764.96304662
203,3507.57267012
211,2530.53369208
217,1269.73814339
219,1288.91180921
221,4787.08982332
227,1819.04771352
230,1478.91546336
235,1939.52174095
240,698.409529372
243,2956.88044045
249,6069.52475532
253,2693.38497889
258,1459.47513997
261,1669.83081162
263,3497.72155893
264,2351.2612404
265,4139.0416699
268,1900.41800125
271,1093.12680321
274,5612.48556848
275,702.070532056
279,1436.04280158
282,1573.90047093
286,3345.57308465
288,1125.4479692
294,2119.95131861
296,1021.73498869
297,1458.57911709
300,813.294990863
303,8798.48401074
314,1072.74001016
315,4566.15264449
321,2387.81096504
323,3809.40693964
330,3813.83330131
341,1944.03953841
342,4135.4492769
352,1610.10237595
353,3548.96322877
360,5078.85983058
361,2310.1529708
362,4711.03182149
366,1323.04200845
372,3292.82331368
376,2887.82142938
377,2201.86922559
379,1624.31293927
380,3735.99216432
387,1840.45326472
392,1946.11834415
394,10532.4813246
395,1581.24041743
397,1473.35874179
407,5792.43391209
411,8986.95045319
416,2528.09290793
417,1498.63041289
419,4256.99971808
428,5956.36031284
431,1808.95521763
436,9438.33685243
438,1594.9313202
445,6668.32211836
446,7107.80592803
455,1338.46573165
456,1284.81010901
461,973.512214511
463,1834.66820432
464,3691.6180241
466,1645.45905984
467,1277.94594821
470,1268.23997476
475,1464.19544423
482,3397.05567632
490,3615.93187317
496,1772.8801645
497,4396.16856155
508,2910.80454354
510,1828.20655782
512,1870.85880454
513,3703.31268032
523,1760.14764312
531,4640.50990574
532,2278.23660694
533,1302.85206294
537,1172.17946927
544,4445.99714199
547,2603.97689809
556,7832.32495078
565,1404.06068749
566,1258.7059119
571,1442.2408504
573,1770.99886803
574,928.041661046
581,2063.74266498
585,2122.45167171
589,1842.94591137
597,1758.65891631
601,3345.50161634
602,1824.61524334
613,1491.93484057
616,1433.4944795
619,2152.71268099
622,1914.02277311
623,1997.55228312
629,1583.92252378
634,1526.03815645
638,1021.36008951
642,1066.85498758
643,2087.57646909
645,1044.24037446
648,6623.05380659
652,1234.47116925
664,1043.77036984
666,2228.92474642
672,876.722680707
676,2354.53430261
678,4252.30364761
682,1884.13587958
686,3014.82852519
688,2144.34197945
689,1227.89376375
